species,country_of_origin,region,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,color,altitude_low_meters,altitude_high_meters,altitude_mean_meters,grading_date,total_cup_points,owner,variety,altitude
Arabica,Ethiopia,guji-hambela,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,0.12,Green,1950,2200,2075,"April 4th, 2015",90.58,metad plc,NA,1950-2200
Arabica,Ethiopia,guji-hambela,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,0.12,Green,1950,2200,2075,"April 4th, 2015",89.92,metad plc,Other,1950-2200
Arabica,Guatemala,NA,NA,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,0,NA,1600,1800,1700,"May 31st, 2010",89.75,grounds for health admin,Bourbon,1600 - 1800 m
Arabica,Ethiopia,oromia,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,0.11,Green,1800,2200,2000,"March 26th, 2015",89,yidnekachew dabessa,NA,1800-2200
Arabica,Ethiopia,guji-hambela,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,0.12,Green,1950,2200,2075,"April 4th, 2015",88.83,metad plc,Other,1950-2200
Arabica,Brazil,NA,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,0.11,Bluish-Green,NA,NA,NA,"September 3rd, 2013",88.83,ji-ae ahn,NA,NA
Arabica,Peru,NA,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,0.11,Bluish-Green,NA,NA,NA,"September 17th, 2012",88.75,hugo valdivia,Other,NA
Arabica,Ethiopia,oromia,NA,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,0.03,NA,1570,1700,1635,"September 2nd, 2010",88.67,ethiopia commodity exchange,NA,1570-1700
Arabica,Ethiopia,oromiya,NA,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,0.03,NA,1570,1700,1635,"September 2nd, 2010",88.42,ethiopia commodity exchange,NA,1570-1700
Arabica,Ethiopia,"snnp/kaffa zone,gimbowereda",Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,0.1,Green,1795,1850,1822.5,"March 30th, 2015",88.25,diamond enterprise plc,Other,1795-1850
Arabica,Ethiopia,oromia,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,0.1,NA,1855,1955,1905,"March 27th, 2015",88.08,mohammed lalo,NA,1855-1955
Arabica,United States,antioquia,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,0,NA,1872,1872,1872,"March 13th, 2015",87.92,cqi q coffee sample representative,Other,meters above sea level: 1.872
Arabica,United States,antioquia,Washed / Wet,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,0,NA,1943,1943,1943,"March 13th, 2015",87.92,cqi q coffee sample representative,Other,meters above sea level: 1.943
Arabica,United States (Hawaii),kona,NA,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,0,NA,609.6,609.6,609.6,"May 31st, 2010",87.92,grounds for health admin,NA,2000 ft
